regime,optimizer,eta,loss,delta,correct_prob_min,correct_prob_max,K,d,alpha,beta,L
decoupled,gd,0.2168583870639922,6.906050681130193,8.135243883410255e-07,0.001001055284866791,0.001001868809255132,999,999,0.8,0.2,200
decoupled,gd,0.22079756265534392,6.906037891389445,8.283087659785235e-07,0.0010010562709461377,0.0010018845797121162,999,999,0.8,0.2,200
decoupled,gd,0.22480829233574698,6.906024869326625,8.433619517421703e-07,0.0010010572749383582,0.0010019006368901004,999,999,0.8,0.2,200
decoupled,gd,0.22889187586641818,6.906011610721656,8.586888377499265e-07,0.001001058297168889,0.001001916986006639,999,999,0.8,0.2,200
decoupled,gd,0.2330496366183952,6.905998111277833,8.742944054343765e-07,0.0010010593379689904,0.0010019336323744247,999,999,0.8,0.2,200
decoupled,gd,0.2372829220014027,6.905984366620403,8.901837268760794e-07,0.001001060397676076,0.001001950581402952,999,999,0.8,0.2,200
decoupled,gd,0.24159310390050875,6.905970372295128,9.063619667742159e-07,0.0010010614766336186,0.0010019678386003928,999,999,0.8,0.2,200
decoupled,gd,0.24598157912071297,6.905956123766844,9.228343840089227e-07,0.0010010625751913675,0.0010019854095753764,999,999,0.8,0.2,200
decoupled,gd,0.25044976983961076,6.905941616418042,9.39606333461452e-07,0.0010010636937053078,0.0010020033000387692,999,999,0.8,0.2,200
decoupled,gd,0.2549991240682795,6.9059268455473415,9.566832674863003e-07,0.001001064832538079,0.0010020215158055652,999,999,0.8,0.2,200
decoupled,gd,0.2596311161205372,6.905911806367946,9.740707380514243e-07,0.0010010659920587895,0.001002040062796841,999,999,0.8,0.2,200
decoupled,gd,0.2643472470907248,6.905896494006047,9.917743985499421e-07,0.0010010671726432153,0.0010020589470417652,999,999,0.8,0.2,200
decoupled,gd,0.26914904534016737,6.905880903499425,1.009800005158856e-06,0.00100106837467412,0.0010020781746792789,999,999,0.8,0.2,200
decoupled,gd,0.2740380669924715,6.905865029795684,1.028153419349847e-06,0.001001069598541071,0.0010020977519604208,999,999,0.8,0.2,200
decoupled,gd,0.27901589643782015,6.905848867750555,1.0468406095166631e-06,0.001001070844640818,0.0010021176852503346,999,999,0.8,0.2,200
decoupled,gd,0.2840841468464274,6.905832412126512,1.0658676529364409e-06,0.0010010721133771887,0.0010021379810301251,999,999,0.8,0.2,200
decoupled,gd,0.2892444606913202,6.905815657590676,1.0852407378878024e-06,0.0010010734051614728,0.0010021586458993606,999,999,0.8,0.2,200
decoupled,gd,0.29449851028061613,6.905798598713467,1.104966165521538e-06,0.001001074720412361,0.0010021796865778826,999,999,0.8,0.2,200
decoupled,gd,0.2998479982994703,6.905781229966593,1.1250503519238432e-06,0.001001076059556276,0.0010022011099081998,999,999,0.8,0.2,200
decoupled,gd,0.30529465836186576,6.9057635457213635,1.1454998305603266e-06,0.0010010774230271827,0.001002222922857743,999,999,0.8,0.2,200
decoupled,gd,0.3108402555724281,6.905745540246906,1.1663212539391767e-06,0.0010010788112670746,0.0010022451325210138,999,999,0.8,0.2,200
decoupled,gd,0.31648658709844435,6.9057272077081,1.187521396172047e-06,0.0010010802247260127,0.0010022677461221847,999,999,0.8,0.2,200
decoupled,gd,0.32223548275227265,6.905708542164007,1.2091071550876e-06,0.0010010816638620352,0.0010022907710171228,999,999,0.8,0.2,200
decoupled,gd,0.3280888055843319,6.905689537565613,1.231085554390804e-06,0.0010010831291417683,0.001002314214696159,999,999,0.8,0.2,200
decoupled,gd,0.33404845248686177,6.905670187754124,1.253463746200183e-06,0.0010010846210400997,0.0010023380847863,999,999,0.8,0.2,200
decoupled,gd,0.34011635480865104,6.90565048645889,1.276249013138159e-06,0.001001086140040646,0.0010023623890537841,999,999,0.8,0.2,200
decoupled,gd,0.3462944789809313,6.905630427295309,1.2994487709170905e-06,0.0010010876866358227,0.0010023871354067398,999,999,0.8,0.2,200
decoupled,gd,0.35258482715464073,6.905610003762744,1.3230705708765222e-06,0.0010010892613269424,0.001002412331897819,999,999,0.8,0.2,200
decoupled,gd,0.3589894378492628,6.905589209242649,1.3471221020739613e-06,0.0010010908646244552,0.0010024379867265292,999,999,0.8,0.2,200
decoupled,gd,0.36551038661345153,6.905568036996119,1.3716111943065483e-06,0.0010010924970480532,0.0010024641082423597,999,999,0.8,0.2,200
decoupled,gd,0.37214978669765664,6.905546480161812,1.3965458203544882e-06,0.0010010941591269767,0.0010024907049473312,999,999,0.8,0.2,200
decoupled,gd,0.3789097897389666,6.90552453175386,1.421934098789785e-06,0.0010010958513999315,0.0010025177854987213,999,999,0.8,0.2,200
decoupled,gd,0.3857925864583921,6.9055021846594595,1.4477842965464512e-06,0.0010010975744154892,0.0010025453587120356,999,999,0.8,0.2,200
decoupled,gd,0.39280040737081506,6.905479431636625,1.474104831604775e-06,0.0010010993287322527,0.0010025734335638574,999,999,0.8,0.2,200
decoupled,gd,0.39993552350783373,6.905456265311731,1.500904276069805e-06,0.0010011011149188695,0.0010026020191949393,999,999,0.8,0.2,200
decoupled,gd,0.4072002471537385,6.905432678177265,1.5281913587092497e-06,0.0010011029335543842,0.0010026311249130935,999,999,0.8,0.2,200
decoupled,gd,0.41459693259485575,6.905408662589463,1.5559749678025446e-06,0.0010011047852283201,0.0010026607601961227,999,999,0.8,0.2,200
decoupled,gd,0.4221279768825043,6.905384210765504,1.584264154463064e-06,0.0010011066705409208,0.001002690934695384,999,999,0.8,0.2,200
decoupled,gd,0.42979582060981,6.905359314781364,1.6130681351411106e-06,0.0010011085901033589,0.0010027216582385,999,999,0.8,0.2,200
decoupled,gd,0.437602948702631,6.905333966568989,1.642396295013131e-06,0.0010011105445379314,0.0010027529408329445,999,999,0.8,0.2,200
decoupled,gd,0.4455518912248508,6.9053081579137725,1.6722581910051226e-06,0.0010011125344782123,0.0010027847926692174,999,999,0.8,0.2,200
