optimizer,regime,eta,steps,loss,delta
gd,decoupled,6.299862978380693e-05,100,5.703714453654333,2.6163086827611995e-07
gd,decoupled,6.299862978380693e-05,200,5.703646432690009,5.232848539560644e-07
gd,decoupled,7.12595063356841e-05,10,5.703774780609173,2.95926373705159e-08
gd,decoupled,7.12595063356841e-05,50,5.703744004425878,1.4796614439998093e-07
gd,decoupled,7.12595063356841e-05,100,5.703705534207556,2.959396829213014e-07
gd,decoupled,7.12595063356841e-05,200,5.703628593806965,5.919089437187754e-07
gd,decoupled,8.060361408861346e-05,10,5.70377377170516,3.347307898568519e-08
gd,decoupled,8.060361408861346e-05,50,5.70373895990714,1.6736917912013594e-07
gd,decoupled,8.060361408861346e-05,100,5.703695445173453,3.347478186861534e-07
gd,decoupled,8.060361408861346e-05,200,5.703608415752164,6.6953348132337e-07
gd,decoupled,9.117299484984922e-05,10,5.703772630505712,3.7862360845099946e-08
gd,decoupled,9.117299484984922e-05,50,5.7037332539116266,1.8931664579925622e-07
gd,decoupled,9.117299484984922e-05,100,5.703684033186711,3.7864539589741245e-07
gd,decoupled,9.117299484984922e-05,200,5.7035855917958695,7.573392118934846e-07
gd,decoupled,0.00010312831606721848,10,5.703771339663215,4.282720774632237e-08
gd,decoupled,0.00010312831606721848,50,5.703726799701353,2.1414223329296878e-07
gd,decoupled,0.00010312831606721848,100,5.703671124771655,4.2829995352882885e-07
gd,decoupled,0.00010312831606721848,200,5.703559774987722,8.566618591729705e-07
gd,decoupled,0.00011665131316981962,10,5.703769879555304,4.844309452233311e-08
gd,decoupled,0.00011665131316981962,50,5.703719499164583,2.422233982275583e-07
gd,decoupled,0.00011665131316981962,100,5.703656523705158,4.844666114016752e-07
gd,decoupled,0.00011665131316981962,200,5.703530572882852,9.690124888220124e-07
gd,decoupled,0.0001319475521676706,10,5.703768227986555,5.479539345832826e-08
gd,decoupled,0.0001319475521676706,50,5.70371124132446,2.73987107613817e-07
gd,decoupled,0.0001319475521676706,100,5.703640008033888,5.479995678647244e-07
gd,decoupled,0.0001319475521676706,200,5.703497541576298,1.0961005546092535e-06
gd,decoupled,0.0001492495545051829,10,5.7037663598511354,6.198067225128903e-08
gd,decoupled,0.0001492495545051829,50,5.703701900651952,3.099163355369493e-07
gd,decoupled,0.0001492495545051829,100,5.703621326700377,6.198651087687898e-07
gd,decoupled,0.0001492495545051829,200,5.703460178955298,1.2398599809762892e-06
gd,decoupled,0.00016882033167003627,10,5.703764246751114,7.010816242174547e-08
gd,decoupled,0.00016882033167003627,50,5.703691335157732,3.505574122531635e-07
gd,decoupled,0.00016882033167003627,100,5.703600195726662,7.011563274350249e-07
gd,decoupled,0.00016882033167003627,200,5.703417917066771,1.4024786850180132e-06
gd,decoupled,0.00019095738328780968,10,5.703761856564813,7.930142007948546e-08
gd,decoupled,0.00019095738328780968,50,5.703679384233773,3.965283393433591e-07
gd,decoupled,0.00019095738328780968,100,5.7035762938975845,7.931097804310741e-07
gd,decoupled,0.00019095738328780968,200,5.703370113483969,1.5864319943062477e-06
gd,decoupled,0.0002159972194782717,10,5.703759152958516,8.970020443782589e-08
gd,decoupled,0.0002159972194782717,50,5.703665866211912,4.485281967217189e-07
gd,decoupled,0.0002159972194782717,100,5.70354925787796,8.971243355775614e-07
gd,decoupled,0.0002159972194782717,200,5.703316041541168,1.7945204780225009e-06
gd,decoupled,0.0002443204762186487,10,5.703756094834131,1.0146260337288993e-07
gd,decoupled,0.0002443204762186487,50,5.7036505756023255,5.073477855367658e-07
gd,decoupled,0.0002443204762186487,100,5.703518676689624,1.0147825012843913e-06
gd,decoupled,0.0002443204762186487,200,5.703254879287856,2.0299127788617893e-06
gd,decoupled,0.00027635770147361576,10,5.703752635704475,1.1476743703173545e-07
gd,decoupled,0.00027635770147361576,50,5.703633279969825,5.738816703424431e-07
gd,decoupled,0.00027635770147361576,100,5.703484085464087,1.147874565879739e-06
gd,decoupled,0.00027635770147361576,200,5.703185696994661,2.2961941128617908e-06
gd,decoupled,0.00031259590004822777,10,5.703748722986605,1.2981697734967476e-07
gd,decoupled,0.00031259590004822777,50,5.703613716400659,6.491418039085949e-07
gd,decoupled,0.00031259590004822777,100,5.703444958376252,1.2984259182705418e-06
gd,decoupled,0.00031259590004822777,200,5.7031074430209845,2.5974211947314522e-06
gd,decoupled,0.00035358593665351756,10,5.703744297202496,1.4684002411528493e-07
