regime,optimizer,eta,loss,delta,correct_prob_min,correct_prob_max,K,d,alpha,beta,L
decoupled,gd,1.0011525321360261e-07,6.906754778323522,3.7539459388225005e-13,0.0010010010010260402,0.0010010010014014348,999,999,0.8,0.2,200
decoupled,gd,1.0197747444901153e-07,6.906754778317449,3.8235777391482095e-13,0.0010010010010265515,0.0010010010014089093,999,999,0.8,0.2,200
decoupled,gd,1.0387433444143613e-07,6.906754778311274,3.895057019975834e-13,0.001001001001027013,0.0010010010014165187,999,999,0.8,0.2,200
decoupled,gd,1.0580647749857971e-07,6.9067547783050145,3.967453535841381e-13,0.0010010010010274896,0.001001001001424235,999,999,0.8,0.2,200
decoupled,gd,1.0777455991276772e-07,6.906754778298629,4.041337577087578e-13,0.0010010010010279668,0.0010010010014321006,999,999,0.8,0.2,200
decoupled,gd,1.097792501838718e-07,6.906754778292097,4.116533502962483e-13,0.0010010010010284905,0.0010010010014401439,999,999,0.8,0.2,200
decoupled,gd,1.1182122924637814e-07,6.90675477828551,4.1929307248445014e-13,0.0010010010010289751,0.0010010010014482682,999,999,0.8,0.2,200
decoupled,gd,1.1390119070068172e-07,6.906754778278717,4.2709997864764926e-13,0.001001001001029529,0.001001001001456629,999,999,0.8,0.2,200
decoupled,gd,1.1601984104868259e-07,6.906754778271871,4.3505195106152694e-13,0.0010010010010300197,0.0010010010014650716,999,999,0.8,0.2,200
decoupled,gd,1.1817789993376259e-07,6.906754778264856,4.4314421923652425e-13,0.0010010010010305665,0.0010010010014737108,999,999,0.8,0.2,200
decoupled,gd,1.2037610038522768e-07,6.906754778257729,4.513592190974469e-13,0.0010010010010311284,0.0010010010014824876,999,999,0.8,0.2,200
decoupled,gd,1.226151890672973e-07,6.9067547782504555,4.597546301998712e-13,0.0010010010010316965,0.0010010010014914511,999,999,0.8,0.2,200
decoupled,gd,1.2489592653272258e-07,6.906754778243054,4.683029138086159e-13,0.0010010010010322646,0.0010010010015005675,999,999,0.8,0.2,200
decoupled,gd,1.2721908748112575e-07,6.906754778235507,4.770300907758207e-13,0.0010010010010328345,0.0010010010015098646,999,999,0.8,0.2,200
decoupled,gd,1.2958546102214113e-07,6.906754778227828,4.859010329510971e-13,0.001001001001033425,0.001001001001519326,999,999,0.8,0.2,200
decoupled,gd,1.3199585094345333e-07,6.906754778219997,4.949127045683621e-13,0.0010010010010340561,0.0010010010015289689,999,999,0.8,0.2,200
decoupled,gd,1.344510759838211e-07,6.906754778212001,5.041724416426918e-13,0.0010010010010346527,0.0010010010015388251,999,999,0.8,0.2,200
decoupled,gd,1.369519701111773e-07,6.906754778203873,5.135243359016828e-13,0.0010010010010353054,0.0010010010015488297,999,999,0.8,0.2,200
decoupled,gd,1.3949938280590413e-07,6.906754778195644,5.230739886369351e-13,0.001001001001035908,0.001001001001558982,999,999,0.8,0.2,200
decoupled,gd,1.4209417934937755e-07,6.9067547781872225,5.327710928676455e-13,0.0010010010010365793,0.0010010010015693504,999,999,0.8,0.2,200
decoupled,gd,1.4473724111787632e-07,6.906754778178641,5.426796165219905e-13,0.0010010010010372435,0.001001001001579923,999,999,0.8,0.2,200
decoupled,gd,1.474294658819604e-07,6.906754778169887,5.527796102799964e-13,0.0010010010010379218,0.0010010010015907014,999,999,0.8,0.2,200
decoupled,gd,1.501717681114184e-07,6.906754778160961,5.630910234616371e-13,0.001001001001038608,0.001001001001601699,999,999,0.8,0.2,200
decoupled,gd,1.529650792858841e-07,6.906754778151898,5.735570438730742e-13,0.001001001001039306,0.0010010010016128631,999,999,0.8,0.2,200
decoupled,gd,1.5581034821123383e-07,6.906754778142673,5.842373026337944e-13,0.001001001001039996,0.0010010010016242334,999,999,0.8,0.2,200
decoupled,gd,1.5870854134186887e-07,6.906754778133267,5.951211745625073e-13,0.0010010010010407064,0.0010010010016358276,999,999,0.8,0.2,200
decoupled,gd,1.6166064310898949e-07,6.906754778123666,6.06176784115342e-13,0.0010010010010414727,0.0010010010016476495,999,999,0.8,0.2,200
decoupled,gd,1.6466765625497984e-07,6.9067547781139,6.17438825761818e-13,0.0010010010010422408,0.0010010010016596796,999,999,0.8,0.2,200
decoupled,gd,1.67730602174008e-07,6.9067547781039895,6.289218278110464e-13,0.0010010010010429735,0.0010010010016718953,999,999,0.8,0.2,200
decoupled,gd,1.7085052125896442e-07,6.906754778093843,6.406405354125733e-13,0.0010010010010437533,0.0010010010016843938,999,999,0.8,0.2,200
decoupled,gd,1.7402847325485405e-07,6.906754778083526,6.525578688520994e-13,0.0010010010010445488,0.0010010010016971067,999,999,0.8,0.2,200
decoupled,gd,1.7726553761875845e-07,6.906754778073006,6.647041857904545e-13,0.0010010010010453607,0.0010010010017100649,999,999,0.8,0.2,200
decoupled,gd,1.8056281388649686e-07,6.906754778062296,6.770330823746562e-13,0.0010010010010462194,0.0010010010017232525,999,999,0.8,0.2,200
decoupled,gd,1.839214220461072e-07,6.9067547780514005,6.896302105763308e-13,0.0010010010010470436,0.0010010010017366738,999,999,0.8,0.2,200
decoupled,gd,1.8734250291827115e-07,6.906754778040277,7.025259280563079e-13,0.0010010010010478687,0.0010010010017503946,999,999,0.8,0.2,200
decoupled,gd,1.9082721854381843e-07,6.9067547780289855,7.155437267009068e-13,0.0010010010010487551,0.0010010010017642988,999,999,0.8,0.2,200
decoupled,gd,1.943767525784392e-07,6.906754778017452,7.288458031551315e-13,0.0010010010010496585,0.0010010010017785043,999,999,0.8,0.2,200
