optimizer,regime,eta,steps,loss,delta
signgd,decoupled,0.027585316176291827,200,0.01598068969067003,8.049116928532385e-14
signgd,decoupled,0.02982471286216891,200,0.006555757955740762,2.3869795029440866e-14
signgd,decoupled,0.03224590545296395,200,0.002494028066814453,8.881784197001252e-14
signgd,decoupled,0.03486365227678084,200,0.0008759989498500584,2.1538326677728037e-14
signgd,decoupled,0.03769390975388361,200,0.0002824661431332193,8.393286066166183e-14
signgd,decoupled,0.040753929658717776,200,8.306724307860738e-05,5.084821452783217e-14
signgd,decoupled,0.04406236427773573,200,2.2116126884157413e-05,1.5765166949677223e-14
signgd,decoupled,0.047639380104013404,200,5.288365103452202e-06,2.9976021664879227e-14
signgd,decoupled,0.05150678076168122,200,1.1258642716117145e-06,2.1760371282653068e-14
signgd,decoupled,0.0556881399094527,200,2.1140223663661438e-07,1.0302869668521453e-13
signgd,decoupled,0.06020894493336132,200,3.4654990657894525e-08,2.708944180085382e-14
signgd,decoupled,0.0650967523045817,200,4.905341110831888e-09,3.952393967665557e-14
signgd,decoupled,0.07038135554931554,200,5.923564587260951e-10,9.14823772291129e-14
signgd,decoupled,0.07609496685459875,200,6.02737111834144e-11,8.215650382226158e-15
signgd,decoupled,0.0822724134170047,200,5.095992233938618e-12,3.9968028886505635e-15
signgd,decoupled,0.08895134973108236,200,4.250048545607356e-13,9.103828801926284e-14
signgd,decoupled,0.09617248711152965,200,3.916033121472308e-15,1.9539925233402755e-14
signgd,decoupled,0.103979841848149,200,1.6694085968979356e-16,8.881784197001252e-16
signgd,decoupled,0.11242100350620865,200,-0.0,0.0
signgd,decoupled,0.12154742500762866,200,-0.0,0.0
signgd,decoupled,0.13141473626117564,200,-0.0,0.0
signgd,decoupled,0.14208308325339222,200,-0.0,0.0
signgd,decoupled,0.1536174946671828,200,-0.0,0.0
signgd,decoupled,0.16608827826277153,200,-0.0,0.0
signgd,decoupled,0.179571449437164,200,-0.0,0.0
signgd,decoupled,0.19414919457438812,200,-0.0,0.0
signgd,decoupled,0.20991037201085547,200,-0.0,0.0
signgd,decoupled,0.2269510536694669,200,-0.0,0.0
signgd,decoupled,0.24537511066398174,200,-0.0,0.0
signgd,decoupled,0.26529484644318957,200,-0.0,0.0
signgd,decoupled,0.2868316813342011,200,-0.0,0.0
signgd,decoupled,0.3101168926574778,200,-0.0,0.0
signgd,decoupled,0.3352924149249557,200,-0.0,0.0
signgd,decoupled,0.3625117049988533,200,-0.0,0.0
signgd,decoupled,0.39194067748472194,200,-0.0,0.0
signgd,decoupled,0.4237587160604062,200,-0.0,0.0
signgd,decoupled,0.45815976690544913,200,-0.0,0.0
signgd,decoupled,0.49535352089591705,200,-0.0,0.0
signgd,decoupled,0.5355666917706898,200,-0.0,0.0
signgd,decoupled,0.5790443980602487,200,-0.0,0.0
signgd,decoupled,0.626051657201482,200,-0.0,0.0
signgd,decoupled,0.6768750009458534,200,-0.0,0.0
signgd,decoupled,0.7318242219076175,200,-0.0,0.0
signgd,decoupled,0.7912342618981322,200,-0.0,0.0
signgd,decoupled,0.855467253556568,200,-0.0,0.0
signgd,decoupled,0.9249147277217333,200,-0.0,0.0
signgd,decoupled,1.0,200,-0.0,0.0
signgd,coupled,0.01,200,2.7182309182321687,0.20562421269024844
signgd,coupled,0.010811807510766078,200,2.4226096335697704,0.2828906026062584
signgd,coupled,0.011689518164985783,200,2.119931971089124,0.3802627585218041
signgd,coupled,0.012638482029342977,200,1.810054724400876,0.4955542415080434
signgd,coupled,0.013664483492953258,200,1.4942136692874084,0.6129233027126705
signgd,coupled,0.014773776525985112,200,1.1812353630408479,0.7210887130789021
signgd,coupled,0.01597312280060254,200,0.8849717960036622,0.808227908787935
signgd,coupled,0.01726983290659435,200,0.6218020106037718,0.8410951767489608
signgd,coupled,0.018671810912919196,200,0.4079660544083225,0.8451037400835449
signgd,coupled,0.02018760254679039,200,0.2489310483743879,0.8066889655484608
signgd,coupled,0.021826447283974874,200,0.14130623503142245,0.7033188625101493
signgd,coupled,0.02359833466782194,200,0.07476964808147682,0.4940664525167565
signgd,coupled,0.025514065200312887,200,0.037046706681287525,0.24293257259287693
signgd,coupled,0.027585316176291827,200,0.017247030979363254,0.10248426910121367
signgd,coupled,0.02982471286216891,200,0.00751539302169141,0.03870592880275314
signgd,coupled,0.03224590545296395,200,0.0030806436407174835,0.013447826020728804
